mass,teff,age,fe_h
0.95,5725.6,12.157,0.056
0.96429,5724.9,11.205,0.052
0.97857,5724.8,10.283,0.049
0.99286,5725.1,9.3862,0.05
1.0071,5724.9,8.4602,0.051
1.0214,5725.2,7.5758,0.052
1.0357,5725.3,6.688,0.055
1.05,5725.3,5.822,0.057
1.0643,5725.2,4.9517,0.06
1.0786,5725.2,4.1472,0.065
1.0929,5725.6,3.3746,0.07
1.1071,5725.2,2.634,0.078
1.1214,5725.7,1.9089,0.09
1.1357,5725.9,1.2425,0.108
1.15,5725.5,0.60782,0.134
0.95,5724.5,14.507,0.066
0.97,5725.6,13.101,0.061
0.99,5724.8,11.737,0.056
1.01,5725.1,10.395,0.054
1.03,5725.1,9.1236,0.056
1.05,5725.7,7.8247,0.059
1.07,5725.5,6.5629,0.063
1.09,5725.1,5.3355,0.068
1.11,5725.1,4.1908,0.075
1.13,5725.5,3.11,0.085
1.15,5725.3,2.0932,0.099
