teff,fe_h
4951.144,-0.05460297
4497.99,-0.2320388
4908.684,0.07141705
4254.042,0.08002664
5019.722,-0.1145087
4750.098,0.201069
4700.857,-0.08702205
4997.215,0.01924009
5071.363,-0.0907207
4601.711,-0.08486973
5096.603,0.1274867
4722.574,-0.1666161
4725.82,0.196463
4916.001,0.2000669
4742.564,-0.04113502
5006.448,0.1050037
4811.295,0.09946272
4907.611,-0.04963776
4495.354,0.2327354
4550.697,0.02053565
4593.224,-0.3792638
5105.813,-0.08660845
4945.299,-0.02442559
4206.826,-0.1124695
4885.988,0.09092841
4570.875,0.211407
4669.236,0.232214
5044.952,-0.01067404
4993.408,0.08331914
4923.974,0.1254885
4924.689,0.1320606
4991.954,0.1273133
4636.852,-0.08351398
5043.208,0.04235476
4735.09,-0.09022177
5044.778,-0.03465257
4597.308,0.1312147
4997.555,0.2547683
4558.969,0.3715636
4783.373,0.1343539
5039.232,-0.4294095
4719.468,0.1264161
5014.646,0.1148226
5050.282,0.1565196
4242.644,-0.01712596
5020.998,-0.08061764
4994.379,0.1336387
4444.069,0.294625
4861.358,0.2457143
4633.118,-0.07130738
4593.223,0.2144123
4756.338,0.1525536
3998.578,-0.03188523
4591.183,0.23008
4510.136,-0.4603078
4993.933,-0.1024619
4887.624,0.09461445
4353.383,0.5326353
4799.277,0.2672835
4919.352,0.1638341
5046.006,0.09271872
4673.391,0.06738141
4716.674,-0.09700403
5138.623,-0.111392
4442.962,0.1030195
4659.489,-0.3226923
4976.021,-0.02091777
4542.799,-0.1518229
4917.348,-0.01666868
4682.93,-0.3087195
5031.608,0.105941
5079.299,-0.07375102
4933.75,0.19249
5068.725,-0.1535707
5052.993,0.09539142
4819.458,-0.0203156
4999.105,-0.03950892
4632.938,0.04793224
5071.176,0.02710916
4781.414,-0.05936935
5002.158,-0.3146783
5038.923,-0.1789916
5067.775,0.00489219
4569.714,-0.2498565
5097.016,-0.04429472
4750.415,0.08444834
5007.973,-0.09493766
4823.176,-0.09668884
4720.148,-0.3021839
4614.913,0.02864531
4448.507,0.3368091
5002.575,0.3145591
4665.184,0.1345504
4976.89,-0.04706147
4610.857,0.3554452
4670.049,0.1948819
4896.786,-0.2464859
5048.361,-0.03820146
5078.675,0.297282
4695.659,0.1326132
4480.026,-0.1563359
4559.639,-0.1650319
4749.546,-0.6966584
4862.323,0.2641436
4674.078,-0.02611044
4602.695,0.1455653
5053.673,-0.2634766
5068.167,-0.1597511
5049.787,-0.8214787
4435.042,0.2284737
5125.551,0.2938316
4501.678,0.2305439
5081.854,0.0937126
4862.234,-0.1599231
4431.703,-0.8255066
4870.47,0.2958376
4588.172,0.3481494
4782.464,-0.2607237
4731.524,0.205934
4487.344,0.0801988
5128.593,-0.8943378
4986.553,0.1036177
5079.074,-0.08375799
4965.415,0.1149243
4873.776,0.2577866
5043.754,-0.224708
5044.243,-0.2498453
5011.383,0.04758232
5012.862,-0.05560004
4645.938,-0.1618572
5043.018,0.1027676
4828.657,0.1469199
4690.566,0.1749161
5015.997,-0.2262811
4905.02,0.09471627
4564.897,-0.03770379
4955.226,-0.02618385
4673.032,-0.07462478
4960.521,-0.2456069
4953.479,0.09241009
4611.451,0.1774561
5126.537,-0.1673102
4620.38,0.2240279
5060.981,0.1093719
4798.663,0.3571187
4694.448,0.1424413
5013.652,0.1829253
4757.815,0.00323038
5091.819,0.04194831
4069.025,0.02039959
4295.772,0.09092621
5027.145,0.1728951
5084.171,-0.08633228
5067.997,-0.02050999
4351.132,0.01023424
4726.844,-0.05164842
4456.777,0.1430332
4026.504,-0.07754859
5063.704,-0.08808451
4527.46,0.3403335
5009.495,-0.6555939
5031.094,0.1179508
4417.226,0.1737909
4156.205,-0.1853128
4988.266,0.07589996
4507.274,0.1508446
5078.836,-0.1876718
4985.705,0.1910939
4634.301,0.0324829
4723.173,0.2043479
4836.638,0.0515421
5037.639,0.04078839
4878.336,-0.138528
4335.502,0.05885102
4555.054,0.2453236
4576.677,-0.5550134
4550.994,0.3529751
4903.37,-0.2923613
4322.555,0.2726942
4716.412,-0.0564236
5042.667,-0.06786112
5065.543,-0.008601015
5091.685,0.1741421
4320.824,0.1487717
5026.323,0.2427442
4526.093,-0.4816023
4588.763,-0.1872482
5097.002,0.1266457
5058.39,-0.1518063
5064.604,0.195539
5051.709,0.07706102
4347.826,0.1382412
3921.086,-0.5359666
4604.134,0.2719326
4709.325,0.2078091
4613.704,-0.1806728
4521.855,0.3176073
4279.655,0.238522
4554.302,0.331217
4755.438,-0.1443465
4644.288,0.1862624
3967.329,0.08806097
5053.14,-0.01580775
4634.229,0.4838108
4148.667,-0.103145
4884.387,0.09292087
4958.585,-0.07871414
4441.625,0.1545715
4613.015,-0.4601972
4416.424,0.1303876
5035.889,0.03428995
4839.182,-0.2890233
4688.626,0.1044391
4262.445,-0.02759052
4694.741,-0.08245467
4911.638,-0.4458449
5033.983,0.02100177
4151.054,0.06736649
4268.852,0.05216053
4753.519,-0.085306
4537.747,0.1271062
4141.98,0.07335015
4636.191,0.05891999
4993.885,0.04035004
4946.512,0.1290883
4569.796,-0.09189887
4710.441,0.2387473
4897.395,-0.3618586
4746.962,-0.1905992
4823.447,0.04158916
4434.56,0.2011473
5103.513,0.08567594
4976.213,0.2169347
4853.2,0.2167937
4861.599,-0.02698857
4621.673,0.2467411
4452.358,0.1309795
4539.263,0.3160141
5082.743,-0.04146788
4542.413,-0.05128334
4496.841,-0.3903679
4953.142,0.2487582
4651.656,0.204877
4992.84,-0.135717
4816.118,-0.2216491
4543.929,0.06705134
4970.426,0.01690258
4882.175,0.04946015
4459.317,0.2925565
5112.805,0.1280322
4648.586,0.1571792
4938.712,-0.01544646
5063.361,0.1381984
3974.07,0.234567
4353.461,-0.3220474
5057.706,-0.1039443
4793.939,0.2211962
4639.486,0.09363453
4728.863,-0.5932433
4728.993,-0.05687978
4990.963,0.3675205
4656.484,-0.1433249
5087.91,-0.7772281
5048.279,-0.1183773
4676.558,0.033419
5022.613,0.1069806
4738.554,-0.5064785
5094.023,-0.06472283
5095.604,0.1273497
4987.065,-0.2046402
5063.948,0.01076365
5032.557,0.1466369
4330.712,0.1050302
5008.961,-0.7868289
5096.121,-0.03678903
5050.148,-0.0512125
4608.441,-0.01233756
4952.558,0.05504987
5057.076,0.08875573
4910.988,-0.06699479
4924.927,0.267779
5046.724,0.2068647
4326.81,-0.2138517
4508.936,0.1933329
4954.437,0.3028393
4608.91,0.140924
4817.836,0.05678708
4623.047,0.1484397
5160.889,0.005069808
4149.713,0.1049201
5051.266,-0.1408481
4785.156,-0.09918237
4599.861,0.03891177
4928.123,-0.3828012
4535.741,0.02952022
5068.15,-0.01453319
4707.485,0.06480887
4557.414,-0.3056737
4825.172,0.08928373
4593.376,-0.1303625
4573.367,0.1391094
4767.615,0.09958877
4710.43,-0.07775474
5124.236,-0.6883855
4924.871,-0.4289266
4736.799,-0.6961964
5001.337,-0.8343638
4844.619,-0.1005893
4755.625,0.03225829
4975.157,-0.09022842
5055.146,-0.1186899
4994.148,0.07618541
4961.352,0.1616476
5017.787,-0.2065016
4022.679,0.2718687
5061.06,-0.2104836
4764.8,-0.129515
3908.823,-0.3067852
4392.385,-0.2070074
4694.381,0.106408
5062.076,0.09639227
4559.073,-0.1061413
4917.307,-0.3921918
5078.308,0.2141558
4641.151,0.3996627
4580.822,0.1377355
4778.076,0.1640991
4091.538,-0.2738415
4953.59,0.01576568
4971.804,0.02072669
4728.554,0.1781825
4614.609,0.4790259
3944.963,1.031791E-06
4650.122,0.06499082
5065.309,-0.08465561
5093.74,-0.01588737
4603.956,0.2182871
5003.998,-0.03469409
4962.61,0.1989329
4985.9,-0.2393057
4981.917,-0.03530278
4467.049,-0.03950265
4586.308,0.128231
4671.35,-0.2520129
4533.788,0.2339044
4722.873,0.1723956
4939.511,0.1298614
5058.203,-0.1198167
4751.454,0.2713525
5048.792,0.04346498
5111.096,0.04233298
4658.45,0.3153765
4391.631,-0.07369561
4943.411,0.1720954
4649.917,-0.4020006
4698.985,-0.3843855
4971.225,-0.5014357
4765.421,0.2395898
4781.288,0.000622558
5065.374,0.0173694
4597.336,-0.4308635
4587.127,0.1497784
4604.462,0.1994051
4606.524,0.1517216
4975.126,-0.08782661
4670.785,0.1590903
4431.993,0.08264744
4330.381,0.005370372
4725.611,0.08125079
4980.05,0.2513463
4998.068,-0.004117007
4866.67,-0.1074924
4765.266,-0.0253329
4598.991,0.08865173
4873.395,0.1111459
4650.604,-0.04480027
4710.13,0.1423396
5087.636,0.08441578
4153.123,0.08076177
4613.154,0.1967056
4684.024,-0.4192125
4702.237,-0.09523447
4761.34,0.2268583
4534.28,-0.1119478
4902.911,-0.1646286
4300.405,-0.6112291
4567.331,0.1570342
4709.944,-0.01941815
4904.059,-0.4756094
4388.168,0.2347871
4964.86,-0.1140607
4466.646,-0.2015015
4985.095,-0.385896
4608.945,-0.280652
4420.482,-0.0975965
4997.396,0.04318294
5042.899,-0.04262581
4906.146,0.03368187
4602.224,0.1369694
4822.796,0.2115547
4922.352,0.03414021
4132.312,0.1258334
4680.688,0.1858258
4585.546,-0.43529
5046.572,-0.01271073
4823.52,-0.2819492
4508.571,0.3232055
4893.705,0.06312232
4708.535,0.2928938
4415.284,0.1891339
4974.868,-0.4790727
4317.773,-0.1579145
4817.009,0.4086505
4354.097,-0.03075795
4843.889,-0.004452932
4275.074,0.03962686
5082.816,-0.09006234
3843.206,0.2167805
4447.326,0.390457
4987.82,-0.3295905
5052.7,-0.008999567
5011.917,0.1524755
4573.125,0.02792137
4658.012,-0.09485471
4802.703,-0.1409767
4391.986,0.0835521
5009.162,0.2307496
4643.469,0.06067951
5061.698,0.1559485
4431.465,0.3602791
5008.983,-0.01935776
4564.009,0.1856046
4254.908,-0.7081326
4934.017,0.2911218
4683.999,-0.1587343
5081.961,-0.006088641
4716.515,-0.04372229
4817.658,0.3410308
4923.417,-0.3779203
4663.171,0.04958239
4758.174,-0.2070992
4779.155,0.3040299
4688.977,-0.3965395
4807.673,-0.2331808
5060.158,-0.3530631
4723.549,-0.08949453
3876.368,-0.1429444
4926.554,0.2430748
4974.997,-0.2256919
4750.102,0.007431489
4036.473,0.3222649
4593.406,0.1733416
4805.43,-0.2247006
4487.967,-0.01691088
4842.233,-0.02519503
4912.377,0.1533061
4324.122,0.3714659
4895.446,0.2012778
4944.688,0.1253997
4997.827,0.1340995
4647.627,0.2073505
4967.415,-0.05921254
4809.145,-0.1564315
4722.186,-0.1670135
4818.938,-0.2222054
4509.558,0.2241706
4915.925,0.1910878
4806.338,-0.2454833
4667.293,0.2418588
4806.957,0.4249265
4265.9,0.1299712
4833.698,-0.007465066
4995.593,-0.7007703
5018.198,0.2877409
4632.689,-0.06746688
3990.774,-0.4231128
4502.956,0.4931804
4682.486,-0.1812882
4969.336,-0.210742
4259.077,0.2248206
4248.524,-0.004570875
4780.721,0.2148396
4465.179,0.378095
4965.366,0.1314124
5042.093,-0.7459128
4856.87,0.2247541
5016.776,-0.1386212
4920.695,0.2003425
4630.048,0.1391356
5018.382,0.09529874
4675.843,0.2359882
5098.208,0.1134742
4690.09,-0.3161032
4678.518,-0.2688058
5036.219,-0.2152766
4840.59,0.3678324
4705.853,0.1982353
4619.019,-0.876769
4853.829,-0.224244
4792.875,0.4115556
5063.258,0.1305485
4542.59,0.1781795
4765.608,-0.1986212
5028.09,0.1132939
4577.222,0.3344735
4132.76,-0.294879
5013.731,-0.330987
4281.791,0.1817601
4595.543,-0.8633549
4561.921,0.1484943
4983.043,-0.1283009
4666.405,0.0566044
4472.21,0.1957202
4517.099,-0.3211757
